employee_ID;skill_ID;proficiency_code
1;21fe9c55-1383-4c79-afae-ac443f653cd3;B
1;243594df-02a5-4fde-8f25-07cf692c5549;A
1;4ad7dbd7-92c2-4c73-8de2-9c8bb033de9a;I
16a81b46-e881-4f4e-b0a5-5ef44276017c;21fe9c55-1383-4c79-afae-ac443f653cd3;B
16a81b46-e881-4f4e-b0a5-5ef44276017c;4ad7dbd7-92c2-4c73-8de2-9c8bb033de9a;E
16a81b46-e881-4f4e-b0a5-5ef44276017c;243594df-02a5-4fde-8f25-07cf692c5549;I
16a81b46-e881-4f4e-b0a5-5ef44276017c;16bc3dc1-c69a-4dfc-ad7b-4d6c63a12439;B
3;1c27329c-c467-4e21-8700-31d33a4994a4;B
3;243594df-02a5-4fde-8f25-07cf692c5549;E
4;21fe9c55-1383-4c79-afae-ac443f653cd3;I
4;1c27329c-c467-4e21-8700-31d33a4994a4;E
5;21fe9c55-1383-4c79-afae-ac443f653cd3;I
6;21fe9c55-1383-4c79-afae-ac443f653cd3;B
7;1c27329c-c467-4e21-8700-31d33a4994a4;A
8;16bc3dc1-c69a-4dfc-ad7b-4d6c63a12439;E
9;1c27329c-c467-4e21-8700-31d33a4994a4;I
10;16bc3dc1-c69a-4dfc-ad7b-4d6c63a12439;E
